               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.057802,            0.066195,            0.013083,             0.84355,             0.76686,             0.81325,             0.46251,            0.054326,            0.065853,             0.01226,            0.004258,            0.004258,            0.004258
                  59,            0.057855,            0.065322,            0.013135,             0.83734,             0.76823,             0.80951,             0.46005,            0.054404,            0.065959,            0.012302,            0.004258,            0.004258,            0.004258
                  60,            0.057565,            0.065469,            0.013027,             0.84207,             0.76896,             0.81379,             0.46288,            0.054303,            0.065828,            0.012254,            0.004159,            0.004159,            0.004159
                  60,            0.057806,            0.065634,            0.013148,             0.83941,             0.76594,             0.81007,             0.46077,            0.054376,            0.065914,             0.01229,            0.004159,            0.004159,            0.004159
                  61,             0.05758,            0.065948,            0.013014,             0.84035,             0.76967,             0.81432,             0.46373,             0.05428,            0.065779,            0.012248,             0.00406,             0.00406,             0.00406
                  61,            0.057805,            0.066105,            0.013164,             0.84203,             0.76579,              0.8107,             0.46133,            0.054347,            0.065886,             0.01228,             0.00406,             0.00406,             0.00406
                  62,            0.057646,            0.065777,            0.012977,             0.83972,             0.77074,             0.81447,             0.46419,            0.054257,            0.065756,             0.01224,            0.003961,            0.003961,            0.003961
                  62,            0.057574,              0.0653,            0.013063,             0.84387,             0.76861,             0.81215,             0.46189,            0.054318,            0.065859,            0.012273,            0.003961,            0.003961,            0.003961
                  63,             0.05766,            0.065704,             0.01303,              0.8396,               0.772,             0.81497,             0.46467,            0.054235,            0.065705,            0.012233,            0.003862,            0.003862,            0.003862
                  63,            0.057589,            0.065429,             0.01303,             0.84286,             0.76803,             0.81259,             0.46273,            0.054289,            0.065824,            0.012265,            0.003862,            0.003862,            0.003862
                  64,            0.057361,            0.065674,             0.01293,             0.84055,             0.77174,             0.81483,             0.46516,            0.054216,            0.065678,            0.012224,            0.003763,            0.003763,            0.003763
                  64,            0.057554,            0.066074,            0.013026,             0.84261,             0.76995,             0.81368,             0.46323,            0.054266,            0.065792,            0.012258,            0.003763,            0.003763,            0.003763
                  65,            0.057272,            0.064953,            0.012893,              0.8418,              0.7727,             0.81568,             0.46546,            0.054201,             0.06566,            0.012219,            0.003664,            0.003664,            0.003664
                  65,            0.057549,            0.065192,            0.013031,             0.84233,             0.76909,             0.81315,             0.46336,            0.054248,            0.065767,            0.012256,            0.003664,            0.003664,            0.003664
                  66,            0.057168,            0.065179,            0.012875,             0.84177,              0.7723,             0.81561,             0.46591,            0.054177,            0.065641,            0.012212,            0.003565,            0.003565,            0.003565
                  66,            0.057353,            0.065326,            0.012887,              0.8423,             0.76823,             0.81258,             0.46386,             0.05423,            0.065768,            0.012253,            0.003565,            0.003565,            0.003565
                  67,            0.057161,            0.065372,            0.012845,             0.84254,             0.77272,             0.81627,             0.46572,            0.054159,            0.065623,            0.012206,            0.003466,            0.003466,            0.003466
                  67,            0.057252,            0.065393,            0.012896,             0.84257,             0.76941,             0.81336,             0.46447,            0.054212,            0.065766,            0.012246,            0.003466,            0.003466,            0.003466
                  68,            0.057169,             0.06518,             0.01287,             0.84292,             0.77263,             0.81665,             0.46631,             0.05414,            0.065578,            0.012201,            0.003367,            0.003367,            0.003367
                  68,            0.057188,            0.065509,            0.012899,             0.84313,             0.77081,             0.81372,             0.46497,            0.054192,            0.065742,            0.012241,            0.003367,            0.003367,            0.003367
                  69,            0.056893,            0.065116,            0.012741,             0.84202,             0.77309,             0.81703,             0.46631,            0.054123,            0.065548,            0.012197,            0.003268,            0.003268,            0.003268
